Name;Sport;Date;Start time;Duration;Total distance (km);Average heart rate (bpm);Average speed (km/h);Max speed (km/h);Average pace (min/km);Max pace (min/km);Calories;Fat percentage of calories(%);Average cadence (rpm);Average stride length (cm);Running index;Training load;Ascent (m);Descent (m);Average power (W);Max power (W);Notes;Height (cm);Weight (kg);HR max;HR sit;VO2max
Hiit Dt2a;JOGGING;07/10/2021;09:23:29;00:38:05;;117;0.0;;00:00;;349;34;;;;;;;;;;180.0;120.0;193;;37
Sample rate;Time;HR (bpm);Speed (km/h);Pace (min/km);Cadence;Altitude (m);Stride length (m);Distances (m);Temperatures (C);Power (W);;;;;;;;;;;;;;;;
259;00:04:19;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
260;00:04:20;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
261;00:04:21;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
262;00:04:22;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
263;00:04:23;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
264;00:04:24;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
265;00:04:25;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
266;00:04:26;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
267;00:04:27;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
268;00:04:28;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
269;00:04:29;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
270;00:04:30;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
271;00:04:31;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
272;00:04:32;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
273;00:04:33;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
274;00:04:34;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
275;00:04:35;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
276;00:04:36;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
277;00:04:37;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
278;00:04:38;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
279;00:04:39;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
280;00:04:40;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
281;00:04:41;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
282;00:04:42;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
283;00:04:43;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
284;00:04:44;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
285;00:04:45;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
286;00:04:46;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
287;00:04:47;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
288;00:04:48;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
289;00:04:49;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
290;00:04:50;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
291;00:04:51;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
292;00:04:52;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
293;00:04:53;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
